domainID,siteID,plotID,rootNPercent,rootCPercent,rootCNratio,rootSample_n,plotType,litterNPercent,foliarNPercent,foliarCPercent,foliarCNRatio,soilNPercent_OHoriz,soilCPercent_OHoriz,soilCNRatio_OHoriz,soilNPercent_MHoriz,soilCPercent_MHoriz,soilCNRatio_MHoriz,nlcdClass,decimalLatitude,decimalLongitude,easting,northing,utmZone,elevation
D19,BONA,BONA_077,0.9600000000000001,49.111428571428576,52.628571428571426,7,tower,1.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrubScrub,65.15528,-147.496312,476731.72,7225851.86,6N,229.1
D19,BONA,BONA_078,0.9383333333333334,49.821666666666665,58.05,6,tower,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,65.156592,-147.507861,476191.46,7226002.39,6N,272.6
D19,BONA,BONA_079,1.022857142857143,50.27142857142857,53.1,7,tower,0.9299999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,65.15847,-147.50471,476340.85,7226210.5,6N,286.1
D19,BONA,BONA_080,0.6783333333333333,50.085,78.5,6,tower,0.48,NA,NA,NA,1.1266666666666667,36.25333333333333,32.83333333333333,0.26666666666666666,5.596666666666667,20.96666666666667,evergreenForest,65.153889,-147.512286,475981.58,7225702.82,6N,241.8
D19,BONA,BONA_081,0.66,50.115,79.28333333333333,6,tower,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrubScrub,65.155823,-147.498863,476612.6,7225913.32,6N,231.8
D19,BONA,BONA_082,0.9471428571428572,49.41,55.1,7,tower,0.8866666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,65.156573,-147.512298,475983.44,7226001.95,6N,289.6
D19,BONA,BONA_083,0.8133333333333334,48.34166666666667,59.95,6,tower,1.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrubScrub,65.154212,-147.49758,476671.34,7225733.3,6N,225.7
D19,BONA,BONA_084,1.0114285714285713,47.292857142857144,52.47142857142857,7,tower,0.98,NA,NA,NA,1.67,36.97,22.066666666666666,0.14333333333333334,2.8633333333333333,20.400000000000002,deciduousForest,65.155247,-147.512957,475951.35,7225854.42,6N,263.5
D19,BONA,BONA_086,0.85,47.015,56.35,6,tower,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,woodyWetlands,65.15282,-147.511623,476011.69,7225583.43,6N,233.4
D19,BONA,BONA_087,0.8633333333333333,49.821666666666665,63.2,6,tower,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,65.158493000000007,-147.502127,476461.95,7226212.1,6N,271.9
D19,BONA,BONA_088,0.7742857142857144,48.72142857142857,66.64285714285714,7,tower,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,65.15741,-147.505953,476281.64,7226092.83,6N,278.6
D19,BONA,BONA_089,0.825,49.24333333333333,62.7,6,tower,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,65.155778,-147.511087,476039.49,7225912.89,6N,268.1
D19,BONA,BONA_093,0.8614285714285714,49.75142857142857,61.7,7,tower,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixedForest,65.155786,-147.504653,476341.13,7225911.36,6N,251.2
