domainID,siteID,plotID,plotType,rootNPercent,rootNPercent_n,rootCPercent,rootCPercent_n,rootCNratio,rootCNratio_n,litterNPercent_mean,litterNPercent_n,litterCPercent_mean,litterCPercent_n,litterCNRatio_mean,litterCNRatio_n,foliarNPercent_mean,foliarNPercent_n,foliarCPercent_mean,foliarCPercent_n,foliarCNRatio_mean,foliarCNRatio_n,soilNPercent_OHoriz_mean,soilNPercent_OHoriz_n,soilCPercent_OHoriz_mean,soilCPercent_OHoriz_n,soilCNRatio_OHoriz_mean,soilCNRatio_OHoriz_n,soilNPercent_MHoriz_mean,soilNPercent_MHoriz_n,soilCPercent_MHoriz_mean,soilCPercent_MHoriz_n,soilCNRatio_MHoriz_mean,soilCNRatio_MHoriz_n
D02,SCBI,SCBI_056,tower,1.53375,8,45.03375,8,33.7625,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_057,tower,0.97125,8,46.3375,8,51.7875,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_058,tower,1.3287499999999999,8,43.56625,8,37.0375,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_061,tower,1.72625,8,44.97,8,29.974999999999998,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_062,tower,1.1300000000000001,8,43.165,8,42.4875,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_063,tower,1.21625,8,45.93625,8,45.05,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_064,tower,0.93625,8,44.7425,8,55.9375,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_066,tower,0.85625,8,45.74125,8,62.137499999999996,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_067,tower,1.2157142857142857,7,45.62285714285714,7,44.65714285714286,7,NA,NA,NA,NA,NA,NA,2.64,3,45.97333333333333,3,17.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_041,tower,0.81,4,47.0625,4,63.6,4,NA,NA,NA,NA,NA,NA,1.01,1,45.9,1,45.4,1,NA,NA,NA,NA,NA,NA,0.07,6,1.5416666666666665,6,22.283333333333335,6
D03,DSNY,DSNY_042,tower,0.5800000000000001,4,49.375,4,91.8,4,NA,NA,NA,NA,NA,NA,1.1725,4,49.96,4,46.25,4,NA,NA,NA,NA,NA,NA,0.11333333333333333,3,2.92,3,22.266666666666666,3
D03,DSNY,DSNY_043,tower,0.7050000000000001,2,47.92,2,72.1,2,NA,NA,NA,NA,NA,NA,1.26,1,46.05,1,36.5,1,NA,NA,NA,NA,NA,NA,0.0575,4,1.2574999999999998,4,21.825,4
D03,DSNY,DSNY_044,tower,0.635,2,47.725,2,74.85,2,NA,NA,NA,NA,NA,NA,0.6,1,48.59,1,81.6,1,NA,NA,NA,NA,NA,NA,0.085,2,2.06,2,23.5,2
D03,DSNY,DSNY_045,tower,0.615,4,47.807500000000005,4,82.65,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
