"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","cnSampleID","cnSampleCode","sampleType","co2Trapped","nitrogenPercent","carbonPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF"
"970bb76a-bba9-41a1-8cad-d8e9493a8018","2019-04-19","SOAP_048.basePlot.ltr","D17","SOAP","SOAP_048","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP048.20181023.LVS","NEON.LTR.SOAP048.20181023.LVS.CN","A00000061735","vegetation","N",0.94,46.53,49.7,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"6860deab-ae07-4eb8-a544-1a786202410e","2019-04-19","SOAP_061.basePlot.ltr","D17","SOAP","SOAP_061","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP061.20181023.LVS","NEON.LTR.SOAP061.20181023.LVS.CN","A00000061785","vegetation","N",0.8,48.29,60.6,"0","0",2,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"f105b61e-bea6-45fb-a960-9b83ed9f4d1c","2019-04-19","SOAP_052.basePlot.ltr","D17","SOAP","SOAP_052","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP052.20181023.LVS","NEON.LTR.SOAP052.20181023.LVS.CN","A00000061752","vegetation","N",0.87,47.54,54.8,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"a402402b-98c4-4f96-a337-85c5ce3cf958","2019-04-18","SOAP_044.basePlot.ltr","D17","SOAP","SOAP_044","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP044.20181023.LVS","NEON.LTR.SOAP044.20181023.LVS.CN","A00000061738","vegetation","N",0.63,49.6,78.8,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"60e68381-b9f5-40b7-aac9-95e6152f3c2c","2019-04-19","SOAP_061.basePlot.ltr","D17","SOAP","SOAP_061","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP061.20181023.NDL","NEON.LTR.SOAP061.20181023.NDL.CN","A00000061714","vegetation","N",1.35,49.27,36.4,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"add1fff2-68e5-497e-ae44-96938269003d","2019-04-18","SOAP_043.basePlot.ltr","D17","SOAP","SOAP_043","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP043.20181023.NDL","NEON.LTR.SOAP043.20181023.NDL.CN","A00000061723","vegetation","N",0.95,49.79,52.5,"0","0",2,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"a723d88d-a38a-4333-bd0c-7ac138072708","2019-04-19","SOAP_061.basePlot.ltr","D17","SOAP","SOAP_061","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP061.20181023.LVS","NEON.LTR.SOAP061.20181023.LVS.CN","A00000061785","vegetation","N",0.76,48.76,64.3,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"a3a68d27-34af-4a07-b354-a7ef56c4b85c","2019-04-18","SOAP_043.basePlot.ltr","D17","SOAP","SOAP_043","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP043.20181023.LVS","NEON.LTR.SOAP043.20181023.LVS.CN","A00000061725","vegetation","N",NA,50.93,NA,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"583713aa-fdac-469b-9c71-11eb822837c7","2019-04-19","SOAP_060.basePlot.ltr","D17","SOAP","SOAP_060","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP060.20181023.LVS","NEON.LTR.SOAP060.20181023.LVS.CN","A00000061786","vegetation","N",0.75,49.74,66.2,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"d7fc7a09-3406-47be-a6ca-b2905f4943f2","2019-04-19","SOAP_051.basePlot.ltr","D17","SOAP","SOAP_051","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP051.20181023.LVS","NEON.LTR.SOAP051.20181023.LVS.CN","A00000061750","vegetation","N",NA,51.92,NA,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
