"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","ligninSampleID","ligninSampleBarcode","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"70783b30-6686-459b-9dc3-f5de4e4e6e17","2018-07-06","GUAN_055.basePlot.ltr","D04","GUAN","GUAN_055","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN055.20180427.LVS","NEON.LTR.GUAN055.20180427.LVS.LIG","A00000007125",1,0.5,20.97,21.45,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"ac0e7792-09e6-442a-8875-62ec842739cb","2018-07-06","GUAN_045.basePlot.ltr","D04","GUAN","GUAN_045","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN045.20180427.LVS","NEON.LTR.GUAN045.20180427.LVS.LIG","A00000005908",1,0.506,14.29,18.89,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"5b72a676-bed3-4dbe-a9c3-903d3c384d8f","2018-02-08","STEI_046.basePlot.ltr","D05","STEI","STEI_046","tower","2015-10-20T17:00Z","2016-09-19T17:00Z","NEON.LTR.STEI046.20160519.LVS","NEON.LTR.STEI046.20160519.LVS.LIG",NA,1,0.496,20.81,20.98,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"04338066-db44-42c6-896c-9f773052267e","2018-02-08","STEI_062.basePlot.ltr","D05","STEI","STEI_062","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI062.20171002.LVS","NEON.LTR.STEI062.20171002.LVS.LIG",NA,1,0.514,38.2,23.35,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"dedbb3be-90bd-4bff-80a0-9fd8b6faae25","2018-02-08","STEI_048.basePlot.ltr","D05","STEI","STEI_048","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI048.20171002.LVS","NEON.LTR.STEI048.20171002.LVS.LIG",NA,1,0.523,36.2,22.53,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"9344d4d5-d6ab-4018-850d-e98e8e461ae1","2018-02-08","STEI_047.basePlot.ltr","D05","STEI","STEI_047","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI047.20171002.NDL","NEON.LTR.STEI047.20171002.NDL.LIG",NA,1,0.507,30.76,23.38,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"9fe50df0-b576-480c-a119-4e27023d5bf4","2018-02-08","STEI_055.basePlot.ltr","D05","STEI","STEI_055","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI055.20171002.LVS","NEON.LTR.STEI055.20171002.LVS.LIG",NA,1,0.542,25.2,22.25,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"199025db-90f8-40d7-a969-ebe22435b2d9","2018-02-08","STEI_055.basePlot.ltr","D05","STEI","STEI_055","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI055.20171002.LVS","NEON.LTR.STEI055.20171002.LVS.LIG",NA,2,0.538,24.39,21.76,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"cbf9d3ee-8a85-4564-ae41-69ea4e044fa1","2018-02-08","STEI_050.basePlot.ltr","D05","STEI","STEI_050","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI050.20171002.LVS","NEON.LTR.STEI050.20171002.LVS.LIG",NA,1,0.504,35.32,22.79,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"e4a3046c-2447-470f-917b-90958cc27564","2018-02-08","STEI_061.basePlot.ltr","D05","STEI","STEI_061","tower","2017-09-05T17:00Z","2017-10-02T17:00Z","NEON.LTR.STEI061.20171002.NDL","NEON.LTR.STEI061.20171002.NDL.LIG",NA,1,0.539,32.16,25.8,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
