siteID,plotID,plotType,collectDate,root_0-05_carbonPercent,root_0-05_CNratio,root_0-05_nitrogenPercent,root_05-1_carbonPercent,root_05-1_CNratio,root_05-1_nitrogenPercent,root_1-2_carbonPercent,root_1-2_CNratio,root_1-2_nitrogenPercent,root_2-10_carbonPercent,root_2-10_CNratio,root_2-10_nitrogenPercent
DSNY,DSNY_062,tower,2018-07-18T22:03Z,48.98,74.7,0.66,50.935,86.7,0.585,50.46,85.6,0.59,49.96,206.4,0.24
DSNY,DSNY_063,tower,2018-08-01T22:35Z,47.36,40,1.18,45.8,54.2,0.85,43.32,69.5,0.62,44.46,86.6,0.51
DSNY,DSNY_064,tower,2018-07-19T11:30Z,47.66,65.4,0.73,47.45,57,0.83,47.545,39.05,1.215,NA,NA,NA
DSNY,DSNY_065,tower,2018-08-01T21:28Z,46.45,50.9,0.91,47.15,52.5,0.9,46.15,45.3,1.02,47.12,77,0.61
DSNY,DSNY_066,tower,2018-07-24T12:48Z,47.93,33.4,1.44,48.03,42.5,1.13,45.36,50.6,0.9,45.29,39.9,1.13
DSNY,DSNY_067,tower,2018-07-30T21:14Z,47.76,99.1,0.48,48.89,137.1,0.36,48.13,137.7,0.35,NA,NA,NA
DSNY,DSNY_068,tower,2018-07-30T19:50Z,49.19,135.1,0.36,49.47,111.1,0.45,49.08,119.1,0.41,NA,NA,NA
DSNY,DSNY_069,tower,2018-07-25T21:24Z,48.08,82.2,0.59,49.01,96.8,0.51,52.68,118.5,0.44,35.52,156.9,0.23
DSNY,DSNY_070,tower,2018-07-25T23:08Z,48.71,69.4,0.7,48.14,119.1,0.4,48.6,105.5,0.46,46.2,43.9,1.05
GUAN,GUAN_043,tower,2018-10-15T11:39Z,45.51,31.5,1.45,46.56,38,1.23,NA,NA,0.69,45.87,61.4,0.75
GUAN,GUAN_043,tower,2018-10-15T12:00Z,46.45,29.6,1.57,46.7,36.3,1.29,47.05,61.6,0.76,NA,NA,0.48
GUAN,GUAN_044,tower,2018-10-30T11:30Z,41.94,25.4,1.65,44.69,31.4,1.43,46,50.2,0.92,43.76,70.3,0.62
GUAN,GUAN_045,tower,2018-10-24T11:08Z,44.73,27.3,1.64,46.71,33.4,1.4,45.22,47.9,0.94,44.73,67.3,0.67
